"term","t","estimate","std.error","conf.low","conf.high","year"
"X1",1,-2.25520856196935,1.13385203740912,-4.47751771908858,-0.0328994048501192,1988
"X1",2,-2.79534550134758,1.05637371013659,-4.86579992743024,-0.724891075264908,1989
"X1",3,-2.84242933691509,1.02496539212042,-4.85132459087108,-0.833534082959103,1990
"X1",4,-2.81256349552272,1.01260611497086,-4.79723501139064,-0.827891979654803,1991
"X1",5,-3.03051752191622,1.00780452922098,-5.00577810264569,-1.05525694118676,1992
"X1",6,-2.80955784844512,1.00594870647999,-4.78118108344056,-0.837934613449672,1993
"X1",7,-2.91479346712858,1.00523287653387,-4.88501370121056,-0.9445732330466,1994
"X1",8,-2.28711006949764,1.00495698241289,-4.25678956103897,-0.317430577956322,1995
"X1",9,-1.58453345400335,1.00485067997224,-3.55400459658952,0.384937688582815,1996
"X1",10,-1.29334737843592,1.00480972636759,-3.26273825343194,0.676043496560109,1997
"X1",11,-0.800634152614199,1.00479394975242,-2.76999410601269,1.16872580078429,1998
"X1",12,-0.489943649946637,1.00478787293026,-2.45929169299256,1.47940439309929,1999
"X1",13,-0.387184697559671,1.00478553415072,-2.35652815668192,1.58215876156258,2000
"X1",14,-0.0757826703405441,1.00478463888352,-2.04512437477132,1.89355903409023,2001
"X1",15,0.249624303083811,1.00478430879411,-1.71971675438363,2.21896536055125,2002
"X1",16,0.530568369209793,1.00478422003548,-1.43877251429392,2.49990925271351,2003
"X1",17,0.537640320022246,1.00478428552745,-1.43170069184336,2.50698133188785,2004
"X1",18,0.48102118171896,1.0047845695235,-1.48832038676868,2.4503627502066,2005
"X1",19,0.304677822511442,1.00478535064904,-1.66466527695413,2.27402092197701,2006
"X1",20,0.413234601603276,1.00478739525617,-1.55611250521864,2.38258170842519,2007
"X1",21,0.475962804467352,1.00479270927106,-1.49339471763234,2.44532032656705,2008
"X1",22,0.156167852259481,1.00480650609922,-1.81321671112652,2.12555241564549,2009
"X1",23,-0.231050838491757,1.00484232084339,-2.20050559748645,1.73840392050294,2010
"X1",24,-0.00624321640852543,1.00493528539041,-1.97588018256721,1.96339374975016,2011
"X1",25,0.702782366377957,1.0051765685364,-1.26732750605694,2.67289223881285,2012
"X1",26,1.2195353134393,1.00580263618567,-0.751801629040048,3.19087225591865,2013
"X1",27,2.14832892232938,1.00742600553186,0.173810234397883,4.12284761026088,2014
"X1",28,3.02256177348941,1.01162789015484,1.03980754302969,5.00531600394914,2015
"X1",29,4.07022322290604,1.02245481249181,2.06624861460244,6.07419783120963,2016
"X1",30,3.89208286327038,1.05003911171047,1.83404402195943,5.95012170458133,2017
"X1",31,4.7188457984147,1.1184735721368,2.52667787936671,6.91101371746268,2018
"X1",32,5.31425782764429,1.27914488205093,2.80717992781573,7.82133572747285,2019
